index,o_place,d_place,year,month,day,cnt,o_lat,o_lon,d_lat,d_lon
4124707,39099,42003,2020,1,1,3,41.049,-80.691,40.418,-80.057
4124929,24510,24005,2020,1,1,102,39.289,-76.615,39.356,-76.61
4125254,48453,08031,2020,1,1,2,30.253,-97.787,39.728,-104.955
4125467,34021,34029,2020,1,1,1,40.216,-74.773,40.072,-74.122
4125683,26067,26073,2020,1,1,1,42.878,-84.913,43.599,-84.703
4125866,34013,25025,2020,1,1,1,40.734,-74.185,42.314,-71.089
4126075,12119,12117,2020,1,1,1,28.923,-81.997,28.665,-81.394
4126314,20091,04013,2020,1,1,1,38.986,-94.635,33.639,-111.858
4126500,55133,55073,2020,1,1,6,43.065,-88.238,44.901,-89.569
4126523,39133,39029,2020,1,1,2,41.151,-81.298,40.892,-80.838
4126917,35013,35013,2020,1,1,128,32.294,-106.718,32.297,-106.72
4127092,42101,37019,2020,1,1,1,40.005,-75.118,34.194,-78.155
4127257,24009,24009,2020,1,1,32,38.588,-76.531,38.594,-76.535
